 + TIC Scan DR_328.D ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt)
55,45.211,45.357,45.516,4942700.7,23951207.84,89.23,71.85,16.1,0.305,0.053,429686,211255,45.211,45.217,45.567,45.592,28021.56,33110.97,0.67,4973161,,,  ,57.1,,,,,,,,,,
56,45.586,45.624,45.923,115970.01,828853.58,3.09,1.69,0.56,0.337,0.117,157209,66820,45.567,45.592,45.872,45.93,68113.71,61669.82,3.24,183354,,,  ,57.1,,,,,,,,,,
57,45.923,45.98,46.06,15348.61,83886.38,0.31,0.22,0.06,0.137,0.127,66820,59053.9,45.872,45.93,46.12,46.165,61669.82,59053.9,0.61,75924,,,  ,57.1,,,,,,,,,,
58,46.178,46.267,46.426,28741.62,200349.75,0.75,0.42,0.13,0.248,0.109,54159,47998,46.12,46.165,46.559,46.668,54159,47998,1.27,80689,,,  ,55.1,,,,,,,,,,
59,46.687,46.763,47.005,12610.76,120999.57,0.45,0.18,0.08,0.317,0.143,47068.7,40914,46.559,46.668,47.1,47.291,47068.7,40780.49,1.48,58181,,,  ,57.1,,,,,,,,,,
60,47.298,47.412,47.584,166513.54,1399867.39,5.21,2.42,0.94,0.286,0.128,38990.77,86939,47.1,47.291,47.558,47.603,38990.77,39222.71,2.53,205597,,,  ,55.1,,,,,,,,,,
61,47.584,47.635,48.192,67290.39,818039.28,3.05,0.98,0.55,0.609,0.195,86939,34899.2,47.558,47.603,48.443,48.532,36327.03,34899.2,4.33,103498,,,  ,57.1,,,,,,,,,,
62,49.251,49.282,49.333,4640.71,10581.65,0.04,0.07,0.01,0.083,0.243,27316,26459,48.99,49.168,49.435,49.779,27316,26459,0.17,31627,,,  ,207,,,,,,,,,,
63,49.747,49.893,50.122,6997.75,67066.23,0.25,0.1,0.05,0.375,0.277,27302,26510,49.435,49.779,50.739,51.108,27302,26510,1.42,33991,,,  ,207,,,,,,,,,,
64,51.255,51.299,51.496,7535.96,41648.11,0.16,0.11,0.03,0.242,0.088,26451,25780.36,51.127,51.229,51.853,51.897,25999.4,25780.36,2.61,33495,,,  ,207,,,,,,,,,,
65,53.71,53.876,53.99,3938.6,41699.67,0.16,0.06,0.03,0.28,0.355,23605,24308,53.379,53.532,54.436,54.461,23605,24308,0.45,27959,,,  ,207,,,,,,,,,,
