"Peak","RI","Compound","Chain.length","Class","Mod.position","351","352","350","349","354","346","343","342","335","344","339","345","332","341","334","328","337","338","333","331"
"P45",2873,"C29:ene",29,"Alkene","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5720076.08262035,5811243.57398524,3072119.08101128,4571148.85844672,2678343.63741301,NA,1755899.02751751,2191492.38036587,2574489.04755658,1834585.71499707
"P46",2877,"C29:ene",29,"Alkene","NA",25195473.9094682,20829641.0581399,11565787.3616298,8722808.88044911,8694421.62958097,6364773.78546888,6003985.33943339,5177919.79786474,4434520.83292904,3432813.87551788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P47",2878,"C29:ene",29,"Alkene","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6538704.18075359,6914376.98964301,4576533.85302424,3526184.6398259,2753965.63996176,5374376.58409317,2718974.04052679,2675653.94650354,3220326.03748289,3300987.28393083
"P48",2900,"C29",29,"Alkane","NA",72534826.1636475,65248474.3413979,48092231.0808832,35453221.76846,33075512.4605881,27774403.5516736,16938895.9177154,11678372.2923736,8736233.0328528,11408889.9240315,28222376.7498626,23572884.730094,16546007.1670319,16472900.2265612,8656079.11036053,12312857.3319188,13429497.7521415,8930197.09586885,9398491.7655764,8300572.59472212
"P49",2928,"15-;13-;11-MeC29",29,"Methyl","15-;13-;11-",1780549.73415394,1697795.02091809,1340175.72161593,1319296.33399415,879791.915323452,922527.989834602,567455.96296591,409968.698602393,343287.324729323,283048.144466756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P50",2930,"15-;13-;11-MeC29",29,"Methyl","15-;13-;11-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,904823.226976847,864301.938534395,459778.408388297,492592.347222481,402374.114577113,256793.894037508,179207.53961268,232335.626009692,231713.701607663,205805.757431676
"P51",2958,"C30:diene",30,"Alkadiene","NA",794126.331991696,513534.398734623,434824.176262017,380530.95337957,302126.849895325,323133.462866343,218548.841992861,69388.1009007919,68021.5500212709,130171.419966269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P52",2975,"C30:ene",30,"Alkene","NA",3206839.51985781,2442229.86605506,2052251.06615745,1511390.37168894,1748119.36158106,681405.79051329,1053273.21833779,789534.304454023,607005.350649634,579132.165373982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P53",2976,"C30:ene",30,"Alkene","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,982421.224234826,565887.254845715,556055.842066359,246890.998822654,421287.944837808,543024.260897249,290272.599663553,279409.22587562,323117.024627497,273008.035925772
"P54",2979,"C30:ene",30,"Alkene","NA",NA,NA,NA,NA,NA,740300.852392299,NA,NA,NA,NA,NA,480309.423025218,NA,NA,NA,NA,NA,NA,NA,NA
"P55",3000,"C30",30,"Alkane","NA",1378724.02423142,1219193.73316912,809475.925485521,511556.955828137,501426.021420708,698811.164131473,223187.440863138,132163.815418426,93019.1908659701,160186.518795863,333792.965718009,271119.646350803,181532.811240186,151839.335563378,105161.790607334,128297.747579636,165139.091705546,89666.0254988266,89403.0210322156,103034.34417456
"P56",3049,"C31:diene",31,"Alkadiene","NA",3425830.63996614,3493896.68204459,2613038.81319951,2122565.27217725,2482064.20605561,1612483.45072501,1268120.02963692,1088693.10902424,1103334.08209192,944594.478941725,1463072.20358228,1441226.78003152,970935.026455682,518738.1335386,525876.681400095,932979.030338686,686455.029532779,391959.501458163,457110.07856356,562296.79183256
"P57",3057,"C31:diene",31,"Alkadiene","NA",17763164.4276092,13382460.7071845,11000587.8207301,7707773.52455004,10260480.5111764,8496332.8266309,6454174.67065084,5103003.31030615,4765727.32125594,4885834.4146689,5827883.35690594,5641400.3704277,4165911.78103618,2563495.00077003,2481975.86100426,4553895.7708392,2873412.7912292,1799751.60130308,2239558.34734518,2105892.72300933
"P58",3063,"C31:diene",31,"Alkadiene","NA",3725025.56743015,3416600.75041277,2969275.007618,2299455.3841317,2190188.83752589,2227324.71039017,1305856.59562105,NA,1164944.15650848,887351.598028118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P59",3064,"C31:diene",31,"Alkadiene","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1662166.19956388,1501687.68775805,NA,NA,NA,1056978.75419079,847640.184331751,NA,NA,NA
"P60",3076,"C31:ene",31,"Alkene","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30307732.816304,33739785.5749099,20752534.8502391,10124646.3156363,13161725.0464407,21012392.5584503,11909540.1908616,9450474.85687763,10836946.4918975,9428392.2652987
"P61",3078,"C31:ene",31,"Alkene","NA",90554431.0968304,72958359.2320055,57117982.3027321,42745710.9435818,47977621.0968072,41256600.9813329,31019584.8406483,27666934.8310144,19690062.6792671,18861503.2099674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P62",3083,"C31:ene",31,"Alkene","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16477256.6079918,15553314.4873597,10823120.7731634,5306147.0728744,7534366.85812695,11502829.8603681,5653803.47238509,5002370.19499765,5876982.50080918,5026958.38561938
"P63",3084,"C31:ene",31,"Alkene","NA",41191858.6419662,33241132.5236285,28997126.8170238,20153418.633978,21793213.8798327,23135388.8630489,15468120.9026604,13955354.9677736,9151719.48635749,9948808.27379053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P64",3100,"C31",31,"Alkane","NA",38992658.4930446,34647370.0262176,23634527.2644302,15331190.3456741,14143096.2952301,20737761.9701926,8059851.31483811,5861730.59252715,3727295.20218368,6076370.71058858,10837078.2501737,8267291.9795869,5431851.39594034,4867485.20386363,3342515.58918217,5121236.47331891,4822878.89036519,2848329.54424715,3230972.95592995,1991787.36310623
"P65",3128,"15-;13-;11-MeC31",31,"Methyl","15-;13-;11-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,247419.563563451,314567.221274896,268178.95552988,170992.204139898,249270.37636469,116773.704603951,121665.6259803,94468.015499675,208000.942341161,222834.256569288
"P66",3145,"C32:diene",32,"Alkadiene","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210058.679292332,288950.903488301,NA,NA,NA,NA,NA,NA,NA,133742.431197763
"P67",3148,"C32:diene",32,"Alkadiene","NA",1327238.98415235,1049377.08066934,661553.418051467,451141.821630455,810818.297301547,366891.220517582,NA,475024.536319131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P68",3154,"C32:diene",32,"Alkadiene","NA",1564680.15280249,1298791.24198069,947532.249015528,854248.071672068,980982.734745464,1140419.56219781,1013420.32956534,781567.961752109,592858.727191479,621953.545433281,458513.187800625,645869.897563166,544955.304570679,240406.914987207,346578.04379757,712060.907848561,440805.865711453,216730.125576804,297378.883108682,283413.036343954
"P69",3173,"C32:ene",32,"Alkene","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1050057.02312186,1376539.41640818,662014.651420893,291122.319043859,498190.192587334,744461.947470539,444783.171129705,254284.203893562,361453.512162101,268222.879596768
"P70",3174,"C32:ene",32,"Alkene","NA",2302151.77735456,2482658.61081107,1750455.94663838,1872134.98728982,1211557.45808688,2153179.63759674,925699.586975876,1361495.72578948,422439.95424197,501336.857363078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P71",3200,"C32",32,"Alkane","NA",201945.861204338,289661.311526415,153399.130187199,129262.377902023,NA,111158.530050439,25256.7590375874,72183.7408018363,NA,27947.7455722533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P72",3253,"C33:diene",33,"Alkadiene","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18534023.3393186,17691281.6614654,13057403.4604365,4948718.90572726,7779689.39658269,17794480.8875392,8425099.78723533,5732517.69551053,6867307.41821797,5356270.75459939
"P73",3256,"C33:diene",33,"Alkadiene","NA",55740175.8917594,48050634.8292026,35822069.1571587,24044910.0169691,34807991.5437833,36169151.8157884,18113716.6391262,16913671.4198891,14009825.1462968,15498663.576814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
