Peak,Compound,mean_RT,335,342,343,344,346,349,350,351,352,354
P117,C33_diene_NA,45.0924,45.064,45.071,45.077,45.071,45.103,45.083,45.103,45.128,45.122,45.102
P118,C33_diene_NA,45.174,NA,45.153,45.153,NA,45.172,45.166,45.179,45.198,45.192,45.179
P119,C33_ene_NA,45.242,45.242,NA,NA,NA,NA,NA,NA,NA,NA,NA
P120,C33_ene_NA,45.3944,45.338,45.357,45.363,45.35,45.408,45.401,45.421,45.459,45.452,45.395
P121,C33_ane_NA,45.6146,45.605,45.605,45.605,45.611,45.618,45.611,45.612,45.637,45.631,45.611
P122,,45.9461,45.949,45.949,45.949,45.942,45.942,45.942,45.942,45.955,45.949,45.942
P123,C34_diene_NA,46.2184,46.235,46.222,46.216,46.228,46.216,46.203,46.21,46.222,46.216,46.216
P124,,46.6237,46.521,46.547,46.528,46.553,46.572,46.604,46.744,46.712,46.833,46.623
P125,,47.07,NA,NA,NA,NA,47.075,47.068,NA,47.062,NA,47.075
P126,C35_diene_NA,47.3495,47.361,47.355,47.348,47.367,47.342,47.336,47.342,47.348,47.348,47.348
P127,C35_ene_NA,47.5774,47.59,47.584,47.571,47.609,47.571,47.565,47.565,47.571,47.571,47.577
P128,C35_ene_NA,47.6318,NA,NA,NA,NA,47.628,47.628,47.628,47.634,47.641,NA
P129,,47.885,NA,NA,NA,NA,NA,47.883,NA,47.883,47.889,NA
P130,,48.2052857142857,NA,48.213,NA,NA,48.194,48.207,48.201,48.201,48.201,48.22
P131,,48.4681428571429,NA,NA,48.5,NA,48.481,48.462,48.462,48.462,48.468,48.442
P132,,49.068,NA,NA,NA,NA,NA,49.085,NA,49.066,49.053,NA
P133,,49.454,NA,NA,NA,NA,NA,NA,NA,49.454,NA,NA
P134,C37_diene_NA,49.7347,49.753,49.728,49.759,49.778,49.734,49.709,49.715,49.715,49.728,49.728
P135,,49.8835,NA,NA,NA,NA,NA,NA,NA,NA,49.88,49.887
P136,,50.008,NA,NA,NA,NA,NA,NA,NA,50.027,49.989,NA
P137,,50.453,NA,NA,NA,NA,NA,NA,NA,NA,50.453,NA
P138,,50.8558333333333,NA,NA,NA,NA,50.86,50.892,50.841,50.841,50.854,50.847
P139,,51.1807,51.204,51.191,51.191,51.235,51.172,51.165,51.159,51.153,51.159,51.178
P140,,51.4696666666667,NA,NA,51.464,NA,NA,51.458,51.477,51.458,51.484,51.477
P141,,52.0478571428571,NA,NA,52.056,52.101,52.037,NA,52.024,52.031,52.024,52.062
P142,,52.215,52.215,NA,NA,NA,NA,NA,NA,NA,NA,NA
P143,,53.4995,53.621,NA,53.456,53.386,53.475,53.424,53.5,53.564,53.57,NA
P144,,53.736,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.736
P145,,54.2162857142857,54.238,NA,54.226,54.155,54.238,54.206,54.219,NA,54.232,NA
P146,,54.5914,54.607,54.588,54.595,54.639,54.588,54.588,54.576,54.582,54.569,54.582
P147,,55.24,55.161,55.186,55.199,55.186,55.199,55.263,55.345,55.32,NA,55.301
P148,,55.447,NA,NA,NA,NA,NA,NA,NA,NA,55.447,NA
P149,,56.818,NA,NA,NA,NA,NA,NA,NA,56.834,NA,56.802
P150,,57.645,57.604,NA,NA,57.648,57.661,NA,57.667,NA,NA,NA
P151,,57.814,NA,NA,NA,NA,NA,NA,NA,57.814,NA,NA
P152,,57.966,NA,NA,NA,NA,NA,57.966,NA,NA,NA,NA
